Радиация,Температура,Время,Выживаемость,thermal_rank,thermal_label,CEM43,generation_block
6.0,44.0,30.0,0.00030631713940398875,2,44C_30min,60.0,23
6.0,44.0,30.0,0.00035973478033462505,2,44C_30min,60.0,62
4.0,42.0,45.0,0.15800000173834605,0,42C_45min,11.25,17
6.0,43.0,45.0,0.012352809108633874,1,43C_45min,45.0,42
2.0,43.0,45.0,0.04629638716644258,1,43C_45min,45.0,43
2.0,43.0,45.0,0.040429334335032235,1,43C_45min,45.0,37
2.0,43.0,45.0,0.057396090881860574,1,43C_45min,45.0,64
4.0,44.0,30.0,0.007761471914554925,2,44C_30min,60.0,11
4.0,43.0,45.0,0.05386407504836123,1,43C_45min,45.0,61
4.0,44.0,30.0,0.009954552725519985,2,44C_30min,60.0,35
2.0,42.0,45.0,0.28268866192278086,0,42C_45min,11.25,55
0.0,42.0,45.0,0.5124569555542998,0,42C_45min,11.25,66
6.0,44.0,30.0,0.0002651766263814743,2,44C_30min,60.0,54
0.0,43.0,45.0,0.15545675379486967,1,43C_45min,45.0,6
0.0,44.0,30.0,0.018570209470791618,2,44C_30min,60.0,29
6.0,42.0,45.0,0.022765711750228807,0,42C_45min,11.25,12
4.0,44.0,30.0,0.007614775251976523,2,44C_30min,60.0,65
8.0,44.0,30.0,5.922056460318281e-08,2,44C_30min,60.0,35
8.0,44.0,30.0,1.30722162132621e-07,2,44C_30min,60.0,19
8.0,42.0,45.0,0.0006668775294298535,0,42C_45min,11.25,59
6.0,43.0,45.0,0.01261602794212272,1,43C_45min,45.0,28
8.0,43.0,45.0,4.370039427644772e-05,1,43C_45min,45.0,47
6.0,43.0,45.0,0.011941453281483758,1,43C_45min,45.0,17
0.0,44.0,30.0,0.018149658431457424,2,44C_30min,60.0,16
6.0,42.0,45.0,0.017198143056308544,0,42C_45min,11.25,37
2.0,42.0,45.0,0.2664532045955807,0,42C_45min,11.25,39
0.0,42.0,45.0,0.53,0,42C_45min,11.25,30
0.0,44.0,30.0,0.020649570482858513,2,44C_30min,60.0,58
6.0,43.0,45.0,0.011061966475798527,1,43C_45min,45.0,53
2.0,43.0,45.0,0.06449968894370638,1,43C_45min,45.0,40
8.0,44.0,30.0,0.0,2,44C_30min,60.0,56
0.0,42.0,45.0,0.53,0,42C_45min,11.25,18
6.0,43.0,45.0,0.009730524256275807,1,43C_45min,45.0,66
6.0,42.0,45.0,0.025062885662377923,0,42C_45min,11.25,35
0.0,42.0,45.0,0.5193417149684795,0,42C_45min,11.25,4
2.0,44.0,30.0,0.0072632516716912374,2,44C_30min,60.0,8
6.0,43.0,45.0,0.01084449745389618,1,43C_45min,45.0,14
0.0,42.0,45.0,0.53,0,42C_45min,11.25,2
0.0,44.0,30.0,0.017340234658716088,2,44C_30min,60.0,5
2.0,43.0,45.0,0.05175177699216117,1,43C_45min,45.0,3
8.0,42.0,45.0,0.0005687063778169432,0,42C_45min,11.25,16
4.0,42.0,45.0,0.2592563658808575,0,42C_45min,11.25,48
0.0,43.0,45.0,0.17219745270863013,1,43C_45min,45.0,19
8.0,43.0,45.0,4.3656436340551964e-05,1,43C_45min,45.0,59
2.0,43.0,45.0,0.05386407504836123,1,43C_45min,45.0,61
2.0,44.0,30.0,0.006569944178253689,2,44C_30min,60.0,54
6.0,42.0,45.0,0.019785889960790254,0,42C_45min,11.25,16
0.0,44.0,30.0,0.017841590546524816,2,44C_30min,60.0,55
6.0,44.0,30.0,0.00026938036772371313,2,44C_30min,60.0,21
2.0,42.0,45.0,0.24697788529633505,0,42C_45min,11.25,43
8.0,43.0,45.0,3.904383538617041e-05,1,43C_45min,45.0,10
4.0,43.0,45.0,0.04866920928171172,1,43C_45min,45.0,65
8.0,44.0,30.0,0.0,2,44C_30min,60.0,28
0.0,43.0,45.0,0.15883334071876384,1,43C_45min,45.0,63
0.0,44.0,30.0,0.02347472572220586,2,44C_30min,60.0,31
8.0,44.0,30.0,0.0,2,44C_30min,60.0,20
8.0,42.0,45.0,0.0006989573134063088,0,42C_45min,11.25,46
2.0,44.0,30.0,0.007144705499250719,2,44C_30min,60.0,4
2.0,43.0,45.0,0.07453966349087508,1,43C_45min,45.0,59
0.0,42.0,45.0,0.53,0,42C_45min,11.25,40
4.0,43.0,45.0,0.05155923377694413,1,43C_45min,45.0,51
6.0,42.0,45.0,0.02075672070893229,0,42C_45min,11.25,43
6.0,43.0,45.0,0.012431384751938194,1,43C_45min,45.0,43
0.0,42.0,45.0,0.53,0,42C_45min,11.25,58
8.0,43.0,45.0,4.241713713938998e-05,1,43C_45min,45.0,44
2.0,42.0,45.0,0.28209469353985034,0,42C_45min,11.25,20
2.0,43.0,45.0,0.044417536277117746,1,43C_45min,45.0,46
2.0,43.0,45.0,0.03933155475353952,1,43C_45min,45.0,21
0.0,42.0,45.0,0.46720129563133017,0,42C_45min,11.25,21
4.0,42.0,45.0,0.3324755266851551,0,42C_45min,11.25,24
2.0,43.0,45.0,0.05142806201349164,1,43C_45min,45.0,32
6.0,43.0,45.0,0.010701514460346865,1,43C_45min,45.0,7
2.0,43.0,45.0,0.04787950333910085,1,43C_45min,45.0,66
6.0,44.0,30.0,0.0002477315055193372,2,44C_30min,60.0,32
4.0,44.0,30.0,0.008212590217540457,2,44C_30min,60.0,24
2.0,43.0,45.0,0.036383043946899646,1,43C_45min,45.0,17
6.0,42.0,45.0,0.019643890981429803,0,42C_45min,11.25,17
8.0,42.0,45.0,0.0006427368783767794,0,42C_45min,11.25,53
4.0,43.0,45.0,0.05700711759481595,1,43C_45min,45.0,45
2.0,43.0,45.0,0.05541359491831334,1,43C_45min,45.0,33
0.0,42.0,45.0,0.53,0,42C_45min,11.25,45
4.0,43.0,45.0,0.062107786574083376,1,43C_45min,45.0,25
4.0,42.0,45.0,0.4550119297914294,0,42C_45min,11.25,35
6.0,43.0,45.0,0.013022844472688967,1,43C_45min,45.0,56
4.0,43.0,45.0,0.05227105195476547,1,43C_45min,45.0,9
0.0,42.0,45.0,0.53,0,42C_45min,11.25,24
6.0,43.0,45.0,0.011334202134059602,1,43C_45min,45.0,24
0.0,44.0,30.0,0.019611049156390458,2,44C_30min,60.0,63
2.0,43.0,45.0,0.04011626781155753,1,43C_45min,45.0,50
4.0,44.0,30.0,0.008805649933167937,2,44C_30min,60.0,63
6.0,42.0,45.0,0.028249439801870068,0,42C_45min,11.25,55
0.0,43.0,45.0,0.1785707585658871,1,43C_45min,45.0,44
6.0,42.0,45.0,0.03169540628995581,0,42C_45min,11.25,13
4.0,44.0,30.0,0.009001605159716371,2,44C_30min,60.0,14
4.0,44.0,30.0,0.007223566088842825,2,44C_30min,60.0,27
4.0,43.0,45.0,0.050806521582222895,1,43C_45min,45.0,22
2.0,42.0,45.0,0.24255211603882001,0,42C_45min,11.25,14
2.0,42.0,45.0,0.323494934002187,0,42C_45min,11.25,41
4.0,44.0,30.0,0.007425142121002216,2,44C_30min,60.0,5
2.0,43.0,45.0,0.05800816223923548,1,43C_45min,45.0,2
0.0,42.0,45.0,0.53,0,42C_45min,11.25,36
6.0,43.0,45.0,0.01159949201462269,1,43C_45min,45.0,46
4.0,43.0,45.0,0.040429334335032235,1,43C_45min,45.0,37
0.0,43.0,45.0,0.25067070907992406,1,43C_45min,45.0,56
0.0,43.0,45.0,0.20820823472333974,1,43C_45min,45.0,40
2.0,44.0,30.0,0.008985803262251882,2,44C_30min,60.0,11
4.0,44.0,30.0,0.008376019002291566,2,44C_30min,60.0,61
2.0,44.0,30.0,0.007937476152477207,2,44C_30min,60.0,33
2.0,43.0,45.0,0.04577665878066231,1,43C_45min,45.0,55
6.0,43.0,45.0,0.0106232089795895,1,43C_45min,45.0,4
6.0,44.0,30.0,0.0002634581443209021,2,44C_30min,60.0,9
0.0,42.0,45.0,0.53,0,42C_45min,11.25,62
4.0,43.0,45.0,0.04577665878066231,1,43C_45min,45.0,55
0.0,42.0,45.0,0.53,0,42C_45min,11.25,44
4.0,42.0,45.0,0.19871017703722837,0,42C_45min,11.25,22
6.0,42.0,45.0,0.020410002894327157,0,42C_45min,11.25,44
8.0,44.0,30.0,0.0,2,44C_30min,60.0,16
8.0,42.0,45.0,0.0006975516328130049,0,42C_45min,11.25,60
4.0,44.0,30.0,0.007370270545212456,2,44C_30min,60.0,47
6.0,43.0,45.0,0.011067683590068596,1,43C_45min,45.0,20
2.0,43.0,45.0,0.0506598191305974,1,43C_45min,45.0,49
2.0,44.0,30.0,0.007614775251976523,2,44C_30min,60.0,65
6.0,42.0,45.0,0.022316011877880855,0,42C_45min,11.25,3
0.0,43.0,45.0,0.1818934533995144,1,43C_45min,45.0,60
0.0,44.0,30.0,0.02199458922501444,2,44C_30min,60.0,0
6.0,42.0,45.0,0.01870925457596698,0,42C_45min,11.25,36
6.0,43.0,45.0,0.011708858625077761,1,43C_45min,45.0,23
6.0,42.0,45.0,0.02757422132174947,0,42C_45min,11.25,60
0.0,43.0,45.0,0.13573552551167087,1,43C_45min,45.0,36
2.0,43.0,45.0,0.056001447631362174,1,43C_45min,45.0,23
6.0,42.0,45.0,0.02285419163529039,0,42C_45min,11.25,66
4.0,42.0,45.0,0.2678450400453464,0,42C_45min,11.25,32
6.0,43.0,45.0,0.013403163329008315,1,43C_45min,45.0,38
4.0,44.0,30.0,0.009110072345155219,2,44C_30min,60.0,2
4.0,42.0,45.0,0.2683046283906104,0,42C_45min,11.25,2
6.0,44.0,30.0,0.0003032946903221158,2,44C_30min,60.0,15
4.0,44.0,30.0,0.008451133964431694,2,44C_30min,60.0,64
0.0,44.0,30.0,0.02653142454013708,2,44C_30min,60.0,13
4.0,44.0,30.0,0.00797750002254424,2,44C_30min,60.0,22
2.0,42.0,45.0,0.2811782947883985,0,42C_45min,11.25,0
8.0,44.0,30.0,0.0,2,44C_30min,60.0,13
6.0,42.0,45.0,0.018917537825118885,0,42C_45min,11.25,34
6.0,42.0,45.0,0.02187457289832845,0,42C_45min,11.25,53
6.0,44.0,30.0,0.00033471797070625485,2,44C_30min,60.0,20
6.0,42.0,45.0,0.021126663469252082,0,42C_45min,11.25,7
0.0,42.0,45.0,0.46720129563133017,0,42C_45min,11.25,29
4.0,43.0,45.0,0.04792223591282383,1,43C_45min,45.0,5
8.0,44.0,30.0,0.0,2,44C_30min,60.0,5
4.0,42.0,45.0,0.2856474120589249,0,42C_45min,11.25,19
8.0,42.0,45.0,0.0006574698332526782,0,42C_45min,11.25,5
4.0,42.0,45.0,0.2083154340894426,0,42C_45min,11.25,66
8.0,44.0,30.0,6.365427881151905e-08,2,44C_30min,60.0,52
8.0,44.0,30.0,1.5841736576990555e-07,2,44C_30min,60.0,59
8.0,43.0,45.0,4.2530037129774916e-05,1,43C_45min,45.0,26
8.0,43.0,45.0,3.762441982315985e-05,1,43C_45min,45.0,21
8.0,44.0,30.0,0.0,2,44C_30min,60.0,34
4.0,42.0,45.0,0.38148417993053724,0,42C_45min,11.25,61
8.0,42.0,45.0,0.0006728265551163758,0,42C_45min,11.25,61
2.0,44.0,30.0,0.008564419842551295,2,44C_30min,60.0,0
0.0,43.0,45.0,0.1701925646094767,1,43C_45min,45.0,49
2.0,44.0,30.0,0.0088849444189376,2,44C_30min,60.0,31
8.0,42.0,45.0,0.0006376042077175534,0,42C_45min,11.25,6
0.0,43.0,45.0,0.17314611262710655,1,43C_45min,45.0,18
0.0,44.0,30.0,0.023393552045796892,2,44C_30min,60.0,24
2.0,42.0,45.0,0.2530941246353678,0,42C_45min,11.25,58
4.0,44.0,30.0,0.007969463725219983,2,44C_30min,60.0,53
6.0,43.0,45.0,0.014408625653082478,1,43C_45min,45.0,25
4.0,42.0,45.0,0.3022921867291408,0,42C_45min,11.25,42
6.0,44.0,30.0,0.00028079441142637426,2,44C_30min,60.0,25
0.0,42.0,45.0,0.53,0,42C_45min,11.25,33
2.0,42.0,45.0,0.17184603389807696,0,42C_45min,11.25,8
2.0,44.0,30.0,0.008234197902919136,2,44C_30min,60.0,60
0.0,42.0,45.0,0.53,0,42C_45min,11.25,17
2.0,42.0,45.0,0.4550119297914294,0,42C_45min,11.25,35
8.0,43.0,45.0,4.2312685609256065e-05,1,43C_45min,45.0,0
4.0,42.0,45.0,0.38698464520488207,0,42C_45min,11.25,13
4.0,44.0,30.0,0.008778997529897577,2,44C_30min,60.0,40
6.0,44.0,30.0,0.00029609179128845724,2,44C_30min,60.0,5
4.0,44.0,30.0,0.009045121043773108,2,44C_30min,60.0,52
4.0,43.0,45.0,0.04462759588885526,1,43C_45min,45.0,39
4.0,43.0,45.0,0.056526648013848005,1,43C_45min,45.0,53
2.0,43.0,45.0,0.046832901043269884,1,43C_45min,45.0,16
6.0,43.0,45.0,0.012265655388157172,1,43C_45min,45.0,19
4.0,42.0,45.0,0.24255211603882001,0,42C_45min,11.25,14
0.0,44.0,30.0,0.01794560174650956,2,44C_30min,60.0,48
2.0,43.0,45.0,0.07055466925795717,1,43C_45min,45.0,24
2.0,43.0,45.0,0.05039057771762103,1,43C_45min,45.0,30
4.0,43.0,45.0,0.048988501508099754,1,43C_45min,45.0,15
6.0,43.0,45.0,0.012277899455888367,1,43C_45min,45.0,63
4.0,42.0,45.0,0.2634669844658499,0,42C_45min,11.25,63
4.0,42.0,45.0,0.24951482471224767,0,42C_45min,11.25,53
6.0,44.0,30.0,0.00032642416329629377,2,44C_30min,60.0,33
2.0,43.0,45.0,0.06382266795669998,1,43C_45min,45.0,31
4.0,43.0,45.0,0.07055466925795717,1,43C_45min,45.0,24
4.0,44.0,30.0,0.0088849444189376,2,44C_30min,60.0,31
6.0,43.0,45.0,0.011748682288567257,1,43C_45min,45.0,62
8.0,43.0,45.0,3.697713627653268e-05,1,43C_45min,45.0,28
6.0,43.0,45.0,0.011322010875904115,1,43C_45min,45.0,0
6.0,43.0,45.0,0.011917740441998987,1,43C_45min,45.0,10
4.0,42.0,45.0,0.2230555947333292,0,42C_45min,11.25,36
6.0,43.0,45.0,0.00960789693807947,1,43C_45min,45.0,29
4.0,43.0,45.0,0.05142806201349164,1,43C_45min,45.0,32
4.0,43.0,45.0,0.048248484460874146,1,43C_45min,45.0,28
2.0,42.0,45.0,0.2899191703057079,0,42C_45min,11.25,52
6.0,42.0,45.0,0.0245931370985675,0,42C_45min,11.25,63
6.0,42.0,45.0,0.021716973303581043,0,42C_45min,11.25,22
6.0,44.0,30.0,0.00036513621262390276,2,44C_30min,60.0,38
6.0,42.0,45.0,0.01806904855046833,0,42C_45min,11.25,62
0.0,44.0,30.0,0.020243223225780854,2,44C_30min,60.0,38
8.0,44.0,30.0,0.0,2,44C_30min,60.0,39
6.0,43.0,45.0,0.01577487434279992,1,43C_45min,45.0,35
0.0,43.0,45.0,0.17908214491435837,1,43C_45min,45.0,39
4.0,43.0,45.0,0.04653331597660527,1,43C_45min,45.0,47
2.0,42.0,45.0,0.2382991213611811,0,42C_45min,11.25,30
4.0,44.0,30.0,0.007498284910512125,2,44C_30min,60.0,30
4.0,44.0,30.0,0.006833781729629934,2,44C_30min,60.0,15
8.0,42.0,45.0,0.0006356056422245121,0,42C_45min,11.25,23
8.0,43.0,45.0,4.138641680264979e-05,1,43C_45min,45.0,48
4.0,43.0,45.0,0.05187694691590843,1,43C_45min,45.0,14
6.0,42.0,45.0,0.027749934467208356,0,42C_45min,11.25,5
2.0,42.0,45.0,0.23109122823577008,0,42C_45min,11.25,10
4.0,43.0,45.0,0.049196239147058916,1,43C_45min,45.0,20
2.0,42.0,45.0,0.3022921867291408,0,42C_45min,11.25,42
0.0,44.0,30.0,0.019259874551426262,2,44C_30min,60.0,52
0.0,43.0,45.0,0.16288901264200806,1,43C_45min,45.0,34
0.0,44.0,30.0,0.022022277748783105,2,44C_30min,60.0,23
6.0,43.0,45.0,0.011099675715595853,1,43C_45min,45.0,32
6.0,44.0,30.0,0.00031548528945514915,2,44C_30min,60.0,47
2.0,42.0,45.0,0.24670923685911517,0,42C_45min,11.25,9
2.0,42.0,45.0,0.2854810407680902,0,42C_45min,11.25,47
0.0,43.0,45.0,0.1397871668909527,1,43C_45min,45.0,21
4.0,43.0,45.0,0.048931092595567334,1,43C_45min,45.0,48
2.0,43.0,45.0,0.050160147595577124,1,43C_45min,45.0,42
0.0,42.0,45.0,0.53,0,42C_45min,11.25,0
4.0,42.0,45.0,0.20945073249276933,0,42C_45min,11.25,21
4.0,42.0,45.0,0.24613869680256545,0,42C_45min,11.25,47
8.0,42.0,45.0,0.0006985723609005496,0,42C_45min,11.25,36
4.0,43.0,45.0,0.049169733623878525,1,43C_45min,45.0,58
8.0,42.0,45.0,0.0007939544823228444,0,42C_45min,11.25,35
0.0,44.0,30.0,0.01797683014471395,2,44C_30min,60.0,32
2.0,43.0,45.0,0.057830985786161915,1,43C_45min,45.0,27
8.0,42.0,45.0,0.0006943650521163029,0,42C_45min,11.25,11
6.0,43.0,45.0,0.01083206077085311,1,43C_45min,45.0,8
6.0,42.0,45.0,0.029065894371100087,0,42C_45min,11.25,26
2.0,44.0,30.0,0.00840128183013125,2,44C_30min,60.0,28
0.0,44.0,30.0,0.01599817980091785,2,44C_30min,60.0,37
4.0,44.0,30.0,0.008234197902919136,2,44C_30min,60.0,60
2.0,44.0,30.0,0.006723781926350739,2,44C_30min,60.0,6
8.0,44.0,30.0,0.0,2,44C_30min,60.0,62
4.0,42.0,45.0,0.26156143060474113,0,42C_45min,11.25,12
6.0,42.0,45.0,0.02093829608649094,0,42C_45min,11.25,18
0.0,42.0,45.0,0.53,0,42C_45min,11.25,60
8.0,44.0,30.0,0.0,2,44C_30min,60.0,4
6.0,44.0,30.0,0.0003498365539286743,2,44C_30min,60.0,19
0.0,43.0,45.0,0.27926068740300386,1,43C_45min,45.0,9
2.0,44.0,30.0,0.00796984739631423,2,44C_30min,60.0,20
6.0,42.0,45.0,0.02508616945231207,0,42C_45min,11.25,28
0.0,43.0,45.0,0.161018831762662,1,43C_45min,45.0,22
8.0,44.0,30.0,0.0,2,44C_30min,60.0,9
4.0,44.0,30.0,0.008204230858203217,2,44C_30min,60.0,28
0.0,42.0,45.0,0.53,0,42C_45min,11.25,39
2.0,44.0,30.0,0.008290966370898127,2,44C_30min,60.0,9
2.0,44.0,30.0,0.007498284910512125,2,44C_30min,60.0,30
2.0,43.0,45.0,0.05528153713671084,1,43C_45min,45.0,11
2.0,42.0,45.0,0.2683046283906104,0,42C_45min,11.25,2
8.0,43.0,45.0,3.6862829559941336e-05,1,43C_45min,45.0,51
2.0,42.0,45.0,0.4382830360887669,0,42C_45min,11.25,13
2.0,42.0,45.0,0.3384050234765452,0,42C_45min,11.25,26
0.0,44.0,30.0,0.02753943720174496,2,44C_30min,60.0,57
6.0,42.0,45.0,0.02516837802394358,0,42C_45min,11.25,11
2.0,44.0,30.0,0.007370270545212456,2,44C_30min,60.0,47
6.0,43.0,45.0,0.011525719680983293,1,43C_45min,45.0,9
8.0,43.0,45.0,4.261525349057203e-05,1,43C_45min,45.0,11
4.0,42.0,45.0,0.2811782947883985,0,42C_45min,11.25,0
0.0,42.0,45.0,0.53,0,42C_45min,11.25,50
2.0,42.0,45.0,0.2678450400453464,0,42C_45min,11.25,32
2.0,42.0,45.0,0.25881670661689665,0,42C_45min,11.25,5
0.0,42.0,45.0,0.53,0,42C_45min,11.25,61
4.0,44.0,30.0,0.006569944178253689,2,44C_30min,60.0,54
2.0,42.0,45.0,0.19106012757472032,0,42C_45min,11.25,16
0.0,42.0,45.0,0.50427457951636,0,42C_45min,11.25,10
0.0,44.0,30.0,0.02311062826990121,2,44C_30min,60.0,53
8.0,44.0,30.0,0.0,2,44C_30min,60.0,15
0.0,42.0,45.0,0.53,0,42C_45min,11.25,15
8.0,43.0,45.0,4.399012907181423e-05,1,43C_45min,45.0,61
6.0,43.0,45.0,0.012752141770475348,1,43C_45min,45.0,33
0.0,44.0,30.0,0.027077196024143716,2,44C_30min,60.0,9
2.0,44.0,30.0,0.008795416639535189,2,44C_30min,60.0,66
8.0,44.0,30.0,0.0,2,44C_30min,60.0,51
6.0,43.0,45.0,0.014559964598849366,1,43C_45min,45.0,12
0.0,43.0,45.0,0.16242248872196371,1,43C_45min,45.0,3
6.0,44.0,30.0,0.0002815616074842647,2,44C_30min,60.0,46
4.0,44.0,30.0,0.008921029249459492,2,44C_30min,60.0,7
4.0,44.0,30.0,0.006900548740727882,2,44C_30min,60.0,39
0.0,43.0,45.0,0.13772742862621745,1,43C_45min,45.0,4
2.0,44.0,30.0,0.007647179272072397,2,44C_30min,60.0,27
8.0,42.0,45.0,0.0006251702804658855,0,42C_45min,11.25,29
8.0,42.0,45.0,0.0006863170743098611,0,42C_45min,11.25,50
8.0,42.0,45.0,0.0007332574072775499,0,42C_45min,11.25,66
8.0,44.0,30.0,0.0,2,44C_30min,60.0,1
