Радиация,Температура,Время,Выживаемость
8.0,43.0,45.0,4.3656436340551964e-05
2.0,43.0,45.0,0.05386407504836123
2.0,44.0,30.0,0.006569944178253689
6.0,42.0,45.0,0.019785889960790254
0.0,44.0,30.0,0.017841590546524816
6.0,44.0,30.0,0.00026938036772371313
2.0,42.0,45.0,0.24697788529633505
8.0,43.0,45.0,3.904383538617041e-05
4.0,43.0,45.0,0.04866920928171172
8.0,44.0,30.0,0.0
0.0,43.0,45.0,0.15883334071876384
0.0,44.0,30.0,0.02347472572220586
8.0,44.0,30.0,0.0
8.0,42.0,45.0,0.0006989573134063088
2.0,44.0,30.0,0.007144705499250719
2.0,43.0,45.0,0.07453966349087508
0.0,42.0,45.0,0.53
4.0,43.0,45.0,0.05155923377694413
6.0,42.0,45.0,0.02075672070893229
6.0,43.0,45.0,0.012431384751938194
0.0,42.0,45.0,0.53
8.0,43.0,45.0,4.241713713938998e-05
2.0,42.0,45.0,0.28209469353985034
2.0,43.0,45.0,0.044417536277117746
2.0,43.0,45.0,0.03933155475353952
0.0,42.0,45.0,0.46720129563133017
4.0,42.0,45.0,0.3324755266851551
2.0,43.0,45.0,0.05142806201349164
6.0,43.0,45.0,0.010701514460346865
2.0,43.0,45.0,0.04787950333910085
6.0,44.0,30.0,0.0002477315055193372
4.0,44.0,30.0,0.008212590217540457
2.0,43.0,45.0,0.036383043946899646
6.0,42.0,45.0,0.019643890981429803
8.0,42.0,45.0,0.0006427368783767794
4.0,43.0,45.0,0.05700711759481595
2.0,43.0,45.0,0.05541359491831334
0.0,42.0,45.0,0.53
4.0,43.0,45.0,0.062107786574083376
4.0,42.0,45.0,0.4550119297914294
6.0,43.0,45.0,0.013022844472688967
4.0,43.0,45.0,0.05227105195476547
0.0,42.0,45.0,0.53
6.0,43.0,45.0,0.011334202134059602
0.0,44.0,30.0,0.019611049156390458
2.0,43.0,45.0,0.04011626781155753
4.0,44.0,30.0,0.008805649933167937
6.0,42.0,45.0,0.028249439801870068
0.0,43.0,45.0,0.1785707585658871
6.0,42.0,45.0,0.03169540628995581
4.0,44.0,30.0,0.009001605159716371
4.0,44.0,30.0,0.007223566088842825
4.0,43.0,45.0,0.050806521582222895
2.0,42.0,45.0,0.24255211603882001
2.0,42.0,45.0,0.323494934002187
4.0,44.0,30.0,0.007425142121002216
2.0,43.0,45.0,0.05800816223923548
0.0,42.0,45.0,0.53
6.0,43.0,45.0,0.01159949201462269
4.0,43.0,45.0,0.040429334335032235
0.0,43.0,45.0,0.25067070907992406
0.0,43.0,45.0,0.20820823472333974
2.0,44.0,30.0,0.008985803262251882
4.0,44.0,30.0,0.008376019002291566
2.0,44.0,30.0,0.007937476152477207
2.0,43.0,45.0,0.04577665878066231
6.0,43.0,45.0,0.0106232089795895
6.0,44.0,30.0,0.0002634581443209021
0.0,42.0,45.0,0.53
4.0,43.0,45.0,0.04577665878066231
0.0,42.0,45.0,0.53
4.0,42.0,45.0,0.19871017703722837
6.0,42.0,45.0,0.020410002894327157
8.0,44.0,30.0,0.0
8.0,42.0,45.0,0.0006975516328130049
4.0,44.0,30.0,0.007370270545212456
6.0,43.0,45.0,0.011067683590068596
2.0,43.0,45.0,0.0506598191305974
2.0,44.0,30.0,0.007614775251976523
6.0,42.0,45.0,0.022316011877880855
0.0,43.0,45.0,0.1818934533995144
0.0,44.0,30.0,0.02199458922501444
6.0,42.0,45.0,0.01870925457596698
6.0,43.0,45.0,0.011708858625077761
6.0,42.0,45.0,0.02757422132174947
0.0,43.0,45.0,0.13573552551167087
2.0,43.0,45.0,0.056001447631362174
6.0,42.0,45.0,0.02285419163529039
4.0,42.0,45.0,0.2678450400453464
6.0,43.0,45.0,0.013403163329008315
4.0,44.0,30.0,0.009110072345155219
4.0,42.0,45.0,0.2683046283906104
6.0,44.0,30.0,0.0003032946903221158
4.0,44.0,30.0,0.008451133964431694
0.0,44.0,30.0,0.02653142454013708
4.0,44.0,30.0,0.00797750002254424
2.0,42.0,45.0,0.2811782947883985
8.0,44.0,30.0,0.0
6.0,42.0,45.0,0.018917537825118885
6.0,42.0,45.0,0.02187457289832845
6.0,44.0,30.0,0.00033471797070625485
6.0,42.0,45.0,0.021126663469252082
0.0,42.0,45.0,0.46720129563133017
4.0,43.0,45.0,0.04792223591282383
8.0,44.0,30.0,0.0
4.0,42.0,45.0,0.2856474120589249
8.0,42.0,45.0,0.0006574698332526782
4.0,42.0,45.0,0.2083154340894426
8.0,44.0,30.0,6.365427881151905e-08
8.0,44.0,30.0,1.5841736576990555e-07
8.0,43.0,45.0,4.2530037129774916e-05
8.0,43.0,45.0,3.762441982315985e-05
8.0,44.0,30.0,0.0
4.0,42.0,45.0,0.38148417993053724
8.0,42.0,45.0,0.0006728265551163758
2.0,44.0,30.0,0.008564419842551295
0.0,43.0,45.0,0.1701925646094767
2.0,44.0,30.0,0.0088849444189376
8.0,42.0,45.0,0.0006376042077175534
0.0,43.0,45.0,0.17314611262710655
0.0,44.0,30.0,0.023393552045796892
2.0,42.0,45.0,0.2530941246353678
4.0,44.0,30.0,0.007969463725219983
6.0,43.0,45.0,0.014408625653082478
4.0,42.0,45.0,0.3022921867291408
6.0,44.0,30.0,0.00028079441142637426
0.0,42.0,45.0,0.53
2.0,42.0,45.0,0.17184603389807696
2.0,44.0,30.0,0.008234197902919136
0.0,42.0,45.0,0.53
2.0,42.0,45.0,0.4550119297914294
8.0,43.0,45.0,4.2312685609256065e-05
4.0,42.0,45.0,0.38698464520488207
4.0,44.0,30.0,0.008778997529897577
6.0,44.0,30.0,0.00029609179128845724
4.0,44.0,30.0,0.009045121043773108
4.0,43.0,45.0,0.04462759588885526
4.0,43.0,45.0,0.056526648013848005
2.0,43.0,45.0,0.046832901043269884
6.0,43.0,45.0,0.012265655388157172
4.0,42.0,45.0,0.24255211603882001
0.0,44.0,30.0,0.01794560174650956
2.0,43.0,45.0,0.07055466925795717
2.0,43.0,45.0,0.05039057771762103
4.0,43.0,45.0,0.048988501508099754
6.0,43.0,45.0,0.012277899455888367
4.0,42.0,45.0,0.2634669844658499
4.0,42.0,45.0,0.24951482471224767
6.0,44.0,30.0,0.00032642416329629377
2.0,43.0,45.0,0.06382266795669998
4.0,43.0,45.0,0.07055466925795717
4.0,44.0,30.0,0.0088849444189376
6.0,43.0,45.0,0.011748682288567257
8.0,43.0,45.0,3.697713627653268e-05
6.0,43.0,45.0,0.011322010875904115
6.0,43.0,45.0,0.011917740441998987
4.0,42.0,45.0,0.2230555947333292
6.0,43.0,45.0,0.00960789693807947
4.0,43.0,45.0,0.05142806201349164
4.0,43.0,45.0,0.048248484460874146
2.0,42.0,45.0,0.2899191703057079
6.0,42.0,45.0,0.0245931370985675
6.0,42.0,45.0,0.021716973303581043
6.0,44.0,30.0,0.00036513621262390276
6.0,42.0,45.0,0.01806904855046833
0.0,44.0,30.0,0.020243223225780854
8.0,44.0,30.0,0.0
6.0,43.0,45.0,0.01577487434279992
0.0,43.0,45.0,0.17908214491435837
4.0,43.0,45.0,0.04653331597660527
2.0,42.0,45.0,0.2382991213611811
4.0,44.0,30.0,0.007498284910512125
4.0,44.0,30.0,0.006833781729629934
8.0,42.0,45.0,0.0006356056422245121
8.0,43.0,45.0,4.138641680264979e-05
4.0,43.0,45.0,0.05187694691590843
6.0,42.0,45.0,0.027749934467208356
2.0,42.0,45.0,0.23109122823577008
4.0,43.0,45.0,0.049196239147058916
2.0,42.0,45.0,0.3022921867291408
0.0,44.0,30.0,0.019259874551426262
0.0,43.0,45.0,0.16288901264200806
0.0,44.0,30.0,0.022022277748783105
6.0,43.0,45.0,0.011099675715595853
6.0,44.0,30.0,0.00031548528945514915
2.0,42.0,45.0,0.24670923685911517
2.0,42.0,45.0,0.2854810407680902
0.0,43.0,45.0,0.1397871668909527
4.0,43.0,45.0,0.048931092595567334
2.0,43.0,45.0,0.050160147595577124
0.0,42.0,45.0,0.53
4.0,42.0,45.0,0.20945073249276933
4.0,42.0,45.0,0.24613869680256545
8.0,42.0,45.0,0.0006985723609005496
4.0,43.0,45.0,0.049169733623878525
8.0,42.0,45.0,0.0007939544823228444
0.0,44.0,30.0,0.01797683014471395
2.0,43.0,45.0,0.057830985786161915
8.0,42.0,45.0,0.0006943650521163029
6.0,43.0,45.0,0.01083206077085311
6.0,42.0,45.0,0.029065894371100087
2.0,44.0,30.0,0.00840128183013125
0.0,44.0,30.0,0.01599817980091785
4.0,44.0,30.0,0.008234197902919136
2.0,44.0,30.0,0.006723781926350739
8.0,44.0,30.0,0.0
4.0,42.0,45.0,0.26156143060474113
6.0,42.0,45.0,0.02093829608649094
0.0,42.0,45.0,0.53
8.0,44.0,30.0,0.0
6.0,44.0,30.0,0.0003498365539286743
0.0,43.0,45.0,0.27926068740300386
2.0,44.0,30.0,0.00796984739631423
6.0,42.0,45.0,0.02508616945231207
0.0,43.0,45.0,0.161018831762662
8.0,44.0,30.0,0.0
4.0,44.0,30.0,0.008204230858203217
0.0,42.0,45.0,0.53
2.0,44.0,30.0,0.008290966370898127
2.0,44.0,30.0,0.007498284910512125
2.0,43.0,45.0,0.05528153713671084
2.0,42.0,45.0,0.2683046283906104
8.0,43.0,45.0,3.6862829559941336e-05
2.0,42.0,45.0,0.4382830360887669
2.0,42.0,45.0,0.3384050234765452
0.0,44.0,30.0,0.02753943720174496
6.0,42.0,45.0,0.02516837802394358
2.0,44.0,30.0,0.007370270545212456
6.0,43.0,45.0,0.011525719680983293
8.0,43.0,45.0,4.261525349057203e-05
4.0,42.0,45.0,0.2811782947883985
0.0,42.0,45.0,0.53
2.0,42.0,45.0,0.2678450400453464
2.0,42.0,45.0,0.25881670661689665
0.0,42.0,45.0,0.53
4.0,44.0,30.0,0.006569944178253689
2.0,42.0,45.0,0.19106012757472032
0.0,42.0,45.0,0.50427457951636
0.0,44.0,30.0,0.02311062826990121
8.0,44.0,30.0,0.0
0.0,42.0,45.0,0.53
8.0,43.0,45.0,4.399012907181423e-05
6.0,43.0,45.0,0.012752141770475348
0.0,44.0,30.0,0.027077196024143716
2.0,44.0,30.0,0.008795416639535189
8.0,44.0,30.0,0.0
6.0,43.0,45.0,0.014559964598849366
0.0,43.0,45.0,0.16242248872196371
6.0,44.0,30.0,0.0002815616074842647
4.0,44.0,30.0,0.008921029249459492
4.0,44.0,30.0,0.006900548740727882
0.0,43.0,45.0,0.13772742862621745
2.0,44.0,30.0,0.007647179272072397
8.0,42.0,45.0,0.0006251702804658855
8.0,42.0,45.0,0.0006863170743098611
8.0,42.0,45.0,0.0007332574072775499
8.0,44.0,30.0,0.0
4.0,43.0,45.0,0.06382266795669998
2.0,43.0,45.0,0.045100311972634144
6.0,44.0,30.0,0.00031623365706163613
4.0,44.0,30.0,0.008510168853470142
6.0,42.0,45.0,0.02156891078671186
0.0,43.0,45.0,0.20141379578685192
8.0,43.0,45.0,4.345136006539392e-05
6.0,44.0,30.0,0.0002736439368137283
0.0,44.0,30.0,0.019369864146781393
6.0,44.0,30.0,0.00026557046599550045
6.0,43.0,45.0,0.013344253342812909
4.0,42.0,45.0,0.28486046704282286
8.0,44.0,30.0,0.0
8.0,42.0,45.0,0.0006267828374540578
6.0,43.0,45.0,0.011796291176761294
8.0,42.0,45.0,0.0007137574239408145
8.0,42.0,45.0,0.0007276480881059746
8.0,43.0,45.0,4.436115207380434e-05
0.0,44.0,30.0,0.021310969523284238
4.0,44.0,30.0,0.007821887749796511
0.0,42.0,45.0,0.53
4.0,44.0,30.0,0.00817004036016696
2.0,42.0,45.0,0.35328436371491667
2.0,42.0,45.0,0.17140847415834795
8.0,42.0,45.0,0.0007740148138634972
8.0,43.0,45.0,3.229413628226251e-05
4.0,42.0,45.0,0.2230244372973072
8.0,43.0,45.0,4.2059870414557045e-05
4.0,43.0,45.0,0.052818956500317885
2.0,44.0,30.0,0.008835524197597809
2.0,44.0,30.0,0.008212590217540457
8.0,44.0,30.0,0.0
6.0,44.0,30.0,0.0003035990568576128
8.0,43.0,45.0,3.921662002421542e-05
0.0,44.0,30.0,0.021754611419799768
4.0,43.0,45.0,0.047375843328518144
8.0,43.0,45.0,4.1516267574514005e-05
0.0,43.0,45.0,0.2853704300722457
2.0,44.0,30.0,0.008510168853470142
2.0,42.0,45.0,0.32184416203950594
4.0,43.0,45.0,0.05686149313480167
0.0,42.0,45.0,0.5084512315164795
8.0,43.0,45.0,3.565885097292208e-05
6.0,43.0,45.0,0.009821378771715978
0.0,44.0,30.0,0.01599817980091785
4.0,44.0,30.0,0.008754635041921378
0.0,43.0,45.0,0.14395742046870053
6.0,43.0,45.0,0.013120042791762168
2.0,42.0,45.0,0.30359994931011886
2.0,44.0,30.0,0.006900548740727882
4.0,44.0,30.0,0.008437259674772303
4.0,44.0,30.0,0.009056372121535676
2.0,42.0,45.0,0.2646130680133886
8.0,43.0,45.0,3.4712016087241574e-05
6.0,42.0,45.0,0.01825088740537677
2.0,44.0,30.0,0.00950695663104404
8.0,44.0,30.0,8.585014043107717e-08
2.0,44.0,30.0,0.007948333701955341
8.0,42.0,45.0,0.0005900137608324525
2.0,43.0,45.0,0.04792223591282383
8.0,43.0,45.0,4.3232300714524397e-05
2.0,42.0,45.0,0.29500869018580056
4.0,42.0,45.0,0.30409689857344047
2.0,44.0,30.0,0.009056372121535676
2.0,43.0,45.0,0.05433517977949586
8.0,44.0,30.0,0.0
0.0,44.0,30.0,0.018679965132669032
2.0,44.0,30.0,0.009954552725519985
8.0,42.0,45.0,0.0008100340000765993
6.0,42.0,45.0,0.021767243782849922
4.0,43.0,45.0,0.04403597123460136
2.0,44.0,30.0,0.009072971054317237
2.0,43.0,45.0,0.04787722710883404
6.0,44.0,30.0,0.00031608078443564404
2.0,42.0,45.0,0.2083154340894426
6.0,44.0,30.0,0.0003269427169720708
4.0,44.0,30.0,0.009072971054317237
6.0,43.0,45.0,0.014174621232809161
8.0,43.0,45.0,4.010301509774647e-05
0.0,43.0,45.0,0.21322786342935054
6.0,42.0,45.0,0.027235530982693223
0.0,43.0,45.0,0.18278717486906357
6.0,44.0,30.0,0.0002889033121636406
8.0,43.0,45.0,4.663447418858708e-05
2.0,42.0,45.0,0.22388343376838182
0.0,44.0,30.0,0.019852788642270656
2.0,43.0,45.0,0.050806521582222895
4.0,43.0,45.0,0.05528153713671084
4.0,43.0,45.0,0.05541359491831334
6.0,44.0,30.0,0.0002736930053177039
0.0,44.0,30.0,0.024328021499328382
6.0,44.0,30.0,0.0002875741166885765
0.0,42.0,45.0,0.53
6.0,44.0,30.0,0.0003531575003078062
2.0,42.0,45.0,0.29919967355097127
8.0,44.0,30.0,0.0
0.0,43.0,45.0,0.18226434181577958
2.0,44.0,30.0,0.008437259674772303
0.0,44.0,30.0,0.027870992059210023
6.0,43.0,45.0,0.013358565362752803
0.0,44.0,30.0,0.02133881540944944
6.0,43.0,45.0,0.013506992332795821
0.0,43.0,45.0,0.21379931231902857
2.0,42.0,45.0,0.24951482471224767
2.0,44.0,30.0,0.008451133964431694
8.0,44.0,30.0,0.0
8.0,43.0,45.0,4.369832481551261e-05
0.0,43.0,45.0,0.1434758509881437
4.0,42.0,45.0,0.17773660994486642
4.0,43.0,45.0,0.036383043946899646
2.0,42.0,45.0,0.2230555947333292
6.0,43.0,45.0,0.011471443132608181
2.0,44.0,30.0,0.007821887749796511
8.0,44.0,30.0,0.0
8.0,43.0,45.0,3.6623040704838444e-05
0.0,44.0,30.0,0.023776990010048262
2.0,43.0,45.0,0.047375843328518144
8.0,43.0,45.0,4.020612449192649e-05
8.0,42.0,45.0,0.0007536739126296494
0.0,43.0,45.0,0.1907969498159307
6.0,44.0,30.0,0.0003325649964521176
6.0,44.0,30.0,0.00035318419575201094
0.0,42.0,45.0,0.53
0.0,43.0,45.0,0.12015587799867701
0.0,43.0,45.0,0.14015641572265403
8.0,43.0,45.0,3.943338129640389e-05
8.0,43.0,45.0,4.249870314731973e-05
2.0,44.0,30.0,0.008754635041921378
4.0,44.0,30.0,0.006723781926350739
4.0,44.0,30.0,0.006899807602029665
8.0,43.0,45.0,4.4304610031876055e-05
8.0,42.0,45.0,0.0007471359310273373
2.0,43.0,45.0,0.05084956644876674
6.0,42.0,45.0,0.018068863310522328
2.0,43.0,45.0,0.04059845632881111
4.0,44.0,30.0,0.007609708343274494
2.0,44.0,30.0,0.007425142121002216
0.0,42.0,45.0,0.5095103924228339
0.0,43.0,45.0,0.2164863169391936
8.0,43.0,45.0,3.946837688179495e-05
4.0,42.0,45.0,0.23746102362243648
0.0,43.0,45.0,0.16108885441878715
8.0,42.0,45.0,0.0006827259355917192
0.0,44.0,30.0,0.023243815676843593
2.0,42.0,45.0,0.2634669844658499
4.0,43.0,45.0,0.03720312090114312
2.0,44.0,30.0,0.007747901892394261
6.0,44.0,30.0,0.0002736198049179174
6.0,44.0,30.0,0.00030742921881507756
0.0,43.0,45.0,0.19575502318907412
8.0,43.0,45.0,3.929063958990444e-05
4.0,44.0,30.0,0.0069564896749166475
0.0,44.0,30.0,0.017412128562728574
8.0,43.0,45.0,3.969133319833076e-05
0.0,44.0,30.0,0.022397644336069906
8.0,44.0,30.0,0.0
2.0,42.0,45.0,0.23746102362243648
4.0,42.0,45.0,0.22388343376838182
6.0,42.0,45.0,0.018461306111780765
2.0,44.0,30.0,0.00889301038518649
8.0,44.0,30.0,0.0
8.0,44.0,30.0,0.0
4.0,42.0,45.0,0.26515510157107275
8.0,43.0,45.0,3.448095671101826e-05
8.0,43.0,45.0,3.398994854098018e-05
2.0,44.0,30.0,0.008558938746537095
6.0,42.0,45.0,0.01833794906564065
0.0,43.0,45.0,0.2105409468671637
6.0,44.0,30.0,0.00031184312790345255
2.0,43.0,45.0,0.04652713539021161
6.0,42.0,45.0,0.0247075159378669
6.0,44.0,30.0,0.000313293247263182
6.0,43.0,45.0,0.0109733910796845
8.0,43.0,45.0,3.924130663233688e-05
0.0,44.0,30.0,0.019999184970802476
8.0,42.0,45.0,0.0007346238337960726
6.0,43.0,45.0,0.012766559818398053
8.0,44.0,30.0,0.0
0.0,42.0,45.0,0.53
6.0,43.0,45.0,0.009179924345298216
6.0,42.0,45.0,0.022592581480636247
2.0,43.0,45.0,0.041655166574958435
0.0,42.0,45.0,0.5139576187390289
2.0,42.0,45.0,0.18206949439397535
4.0,43.0,45.0,0.05665891223032538
0.0,44.0,30.0,0.018164665145690956
6.0,43.0,45.0,0.01393283664670429
8.0,43.0,45.0,3.753367566909357e-05
0.0,42.0,45.0,0.53
6.0,43.0,45.0,0.010586668363838016
4.0,44.0,30.0,0.007747901892394261
8.0,42.0,45.0,0.0008939922077285813
6.0,42.0,45.0,0.016856436899252304
4.0,44.0,30.0,0.00896318075369527
6.0,42.0,45.0,0.022078673965016036
4.0,43.0,45.0,0.05084956644876674
4.0,43.0,45.0,0.06449968894370638
2.0,43.0,45.0,0.06443630266273295
8.0,43.0,45.0,4.463417184757589e-05
4.0,43.0,45.0,0.05103857826160376
8.0,42.0,45.0,0.000662652363983364
8.0,42.0,45.0,0.0005638895773018691
2.0,44.0,30.0,0.006353779265792511
0.0,44.0,30.0,0.02207625497047578
6.0,42.0,45.0,0.020983758201554806
0.0,42.0,45.0,0.53
0.0,42.0,45.0,0.53
4.0,42.0,45.0,0.323494934002187
6.0,44.0,30.0,0.0003639759073583615
2.0,44.0,30.0,0.008165645250321164
4.0,42.0,45.0,0.28209469353985034
8.0,44.0,30.0,0.0
8.0,42.0,45.0,0.0007831871934851696
4.0,44.0,30.0,0.008231716405388908
0.0,42.0,45.0,0.53
6.0,42.0,45.0,0.016114851019930262
8.0,42.0,45.0,0.0007779544270653379
8.0,44.0,30.0,0.0
2.0,44.0,30.0,0.007858518476070353
8.0,44.0,30.0,0.0
8.0,42.0,45.0,0.000615390095854934
0.0,43.0,45.0,0.2391377516830481
6.0,44.0,30.0,0.000286825924871394
4.0,42.0,45.0,0.31060901699934057
4.0,42.0,45.0,0.280946811947597
4.0,44.0,30.0,0.007858518476070353
0.0,43.0,45.0,0.18085088193892904
0.0,42.0,45.0,0.478920353504752
6.0,43.0,45.0,0.00996518035875026
8.0,42.0,45.0,0.000718869643073735
2.0,44.0,30.0,0.008574200875752525
2.0,42.0,45.0,0.31917368056866896
2.0,42.0,45.0,0.2592563658808575
8.0,42.0,45.0,0.0007545904626459285
2.0,44.0,30.0,0.008483451299706136
0.0,43.0,45.0,0.17440808637560395
8.0,44.0,30.0,0.0
4.0,43.0,45.0,0.039124068001523786
6.0,44.0,30.0,0.00032703236972403816
6.0,42.0,45.0,0.019588896529511637
6.0,42.0,45.0,0.025224729091730232
8.0,42.0,45.0,0.0007130644768481581
6.0,43.0,45.0,0.012139613482152716
2.0,43.0,45.0,0.062107786574083376
6.0,42.0,45.0,0.02407021543014876
8.0,42.0,45.0,0.0008097869474687277
0.0,42.0,45.0,0.53
2.0,43.0,45.0,0.04653331597660527
4.0,42.0,45.0,0.20650568879582293
2.0,43.0,45.0,0.06511726712238429
2.0,43.0,45.0,0.04616749179121924
8.0,44.0,30.0,7.877618226220581e-08
8.0,43.0,45.0,4.143847723983763e-05
8.0,44.0,30.0,4.490297316213362e-08
6.0,43.0,45.0,0.01084394952915505
8.0,44.0,30.0,2.8148378119279752e-08
8.0,43.0,45.0,4.5758938267154575e-05
0.0,44.0,30.0,0.02343263454803633
8.0,43.0,45.0,3.850291841527097e-05
4.0,43.0,45.0,0.04652713539021161
6.0,44.0,30.0,0.0002898099268149601
4.0,44.0,30.0,0.008795416639535189
6.0,43.0,45.0,0.011723181584041429
6.0,44.0,30.0,0.00027703643613824865
4.0,42.0,45.0,0.32184416203950594
2.0,42.0,45.0,0.2423155905845362
2.0,42.0,45.0,0.28856510227483567
4.0,42.0,45.0,0.2800847423680696
2.0,43.0,45.0,0.048248484460874146
